1,2,3,4,5,6,7,8,9,10
9474266,CAROLINE SELMER,IMPORTAÇÃO,180,34.960,FERTILIZANTES,33.700,10,CARGONAVE,02/04/23
9460289,NORAH,IMPORTAÇÃO,180,33.693,FERTILIZANTES,14.608,7,AMART SERVICES,03/04/23
9256884,KATERINA,EXPORTAÇÃO,225,76.015,SOJA,66.956,7.1,LBH BRASIL,02/04/23
9330812,W-RAPTOR,EXPORTAÇÃO,225,76.499,SOJA,63.000,5,LBH BRASIL,03/04/23
9805764,MEGHNA ADVENTURE,EXPORTAÇÃO,200,62.472,SOJA,58.159,6.78,L.M.A. SHIPPING & CONSULTING,02/04/23
9304124,KING LOONG,EXPORTAÇÃO,225,77.430,"SOJA,",65.500,7.1,ROCHAMAR,02/04/23
9452610,ORNAK,EXPORTAÇÃO,229,79.677,SOJA,65.000,6.8,FERTIMPORT,02/04/23
9518141,MARINA BLISS,EXPORTAÇÃO,229,82.105,SOJA,701,7.1,ALPHAMAR,02/04/23
9937268,ELITE DIVA,EXPORTAÇÃO,229,82.286,SOJA,71.500,7,ALPHAMAR,02/04/23
9782118,JIMMY T,EXPORTAÇÃO,228,81.704,SOJA,72.600,7.52,ALPHAMAR,02/04/23
9861081,MINT,EXPORTAÇÃO,229,82.015,SOJA,71.168,7.66,ALPHAMAR,02/04/23
9866196,CRYSTAL ADMIRER,EXPORTAÇÃO,229,81.794,SOJA,66.000,9.6,CARGONAVE,02/04/23
9518098,BULK PORTUGAL,EXPORTAÇÃO,229,82.224,SOJA,65.000,6.87,FERTIMPORT,02/04/23
9555307,MT SALSA,IMPORTAÇÃO,180,47.991,QUEROSENES,12.800,9,LACHMANN,03/04/23
9315056,MTM MISSISSIPPI,IMPORTAÇÃO,183,51.182,DIESEL,24.021,12.2,LBH BRASIL,02/04/23
9489106,NAVIG8 UNIVERSE,IMPORTAÇÃO,183,45.113,DIESEL,32.375,11.5,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,03/04/23
9404223,HORIZON EKAVI,IMPORTAÇÃO,183,49.999,OLEO.COMBUSTÍVEL,6.000,10,LACHMANN,02/04/23
9418119,HORIZON ELECTRA,IMPORTAÇÃO,183,51.069,DIESELS500,28.920,9.8,ORION RODOS,03/04/23
9397559,SCF ANGARA,IMPORTAÇÃO,183,50.956,DIESEL,10.000,12.7,NORTH STAR,02/04/23
